input,output
"{""max_value"": 4055, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 4055 ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""min_value"": 3454, ""select_column"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS >= 3454;
"{""hq_code"": ""TDL"", ""max_value"": 12322, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 12322 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""max_value"": 5116, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND RUN_DUTY_MIN <= 5116 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 1318, ""min_value"": 538, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY BETWEEN 538 AND 1318 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 2277, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""min_value"": 2745, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN >= 2745 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 1122, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 1122 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""max_value"": 5133, ""min_value"": 3935, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 3935 AND 5133 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""max_value"": 7646, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""TDL"", ""max_value"": 208, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN <= 208;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""max_value"": 4046, ""min_value"": 2941, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN BETWEEN 2941 AND 4046 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP';
"{""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""max_value"": 9621, ""min_value"": 2495, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY BETWEEN 2495 AND 9621 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 7277, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY <= 7277 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""max_value"": 3763, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 3763 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""min_value"": 8491, ""select_column"": ""CREW_ID_V"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 3566, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA WHERE TOTAL_KMS <= 3566 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 3175, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 5563, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""max_value"": 1470, ""min_value"": 3822, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS BETWEEN 3822 AND 1470 ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 1851, ""min_value"": 4900, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 4900 AND 1851 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 2262, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS >= 2262 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""max_value"": 9844, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 9844;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 4492, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN >= 4492 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""min_value"": 9524, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS >= 9524 ORDER BY TOTAL_KMS ASC;
"{""max_value"": 14120, ""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE NON_RUN_DUTY_MIN <= 14120;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""max_value"": 4216, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY <= 4216 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS DESC;
"{""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""NON_RUN_DUTY_MIN""}",SELECT NON_RUN_DUTY_MIN FROM CREW_MILEAGE_DATA;
"{""max_value"": 832, ""min_value"": 4293, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY BETWEEN 4293 AND 832 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""TDL"", ""min_value"": 3043, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""min_value"": 919, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 919 ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""CREW_ID_V"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""min_value"": 690, ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 690;
"{""max_value"": 3122, ""min_value"": 9915, ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY BETWEEN 9915 AND 3122;
"{""hq_code"": ""BSP"", ""max_value"": 1412, ""min_value"": 2735, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 2735 AND 1412 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""min_value"": 10539, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND NON_RUN_DUTY_MIN >= 10539 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""max_value"": 4601, ""min_value"": 3418, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN BETWEEN 3418 AND 4601 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""min_value"": 11257, ""select_column"": ""RUN_DUTY_MIN""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN >= 11257;
"{""hq_code"": ""TDL"", ""max_value"": 5749, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 5749 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 6505, ""select_column"": ""RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND RUN_DUTY_MIN <= 6505;
"{""hq_code"": ""BSP"", ""max_value"": 4861, ""min_value"": 13479, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS BETWEEN 13479 AND 4861 ORDER BY TOTAL_KMS DESC;
"{""min_value"": 7914, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 7914 ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 3320, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN <= 3320 ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""min_value"": 825, ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND NON_RUN_DUTY_MIN >= 825 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""BSP"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT NON_RUN_DUTY_MIN FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""hq_code"": ""BSP"", ""max_value"": 14215, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_KMS <= 14215 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_DUTY ASC;
"{""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA;
"{""max_value"": 5832, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""max_value"": 1307, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS DESC;
"{""min_value"": 3398, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN >= 3398 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""min_value"": 2210, ""select_column"": ""TOTAL_DUTY""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 2210;
"{""hq_code"": ""BSP"", ""min_value"": 2179, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY >= 2179 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 9388, ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS <= 9388 ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 688, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""ASC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 688;
"{""min_value"": 12949, ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""min_value"": 4380, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY >= 4380;
"{""hq_code"": ""TDL"", ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY DESC;
"{""max_value"": 1886, ""select_column"": ""RUN_DUTY_MIN"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""DESC""}",SELECT RUN_DUTY_MIN FROM CREW_MILEAGE_DATA WHERE RUN_DUTY_MIN <= 1886 ORDER BY TOTAL_KMS DESC;
"{""hq_code"": ""BSP"", ""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' ORDER BY TOTAL_KMS ASC;
"{""select_column"": ""TOTAL_KMS"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM CREW_MILEAGE_DATA ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_KMS"", ""sort_order"": ""ASC""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""min_value"": 1410, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_DUTY >= 1410 ORDER BY TOTAL_DUTY DESC;
"{""hq_code"": ""BSP"", ""max_value"": 4683, ""min_value"": 9678, ""select_column"": ""TOTAL_DUTY"", ""sort_order"": ""DESC""}",SELECT TOTAL_DUTY FROM BSP_MILEAGE_DATA WHERE HQ_CODE_C = 'BSP' AND TOTAL_DUTY BETWEEN 9678 AND 4683;
"{""hq_code"": ""TDL"", ""select_column"": ""NON_RUN_DUTY_MIN"", ""sort_order"": ""DESC""}",SELECT NON_RUN_DUTY_MIN FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL';
"{""hq_code"": ""TDL"", ""select_column"": ""CREW_ID_V"", ""sort_by"": ""TOTAL_DUTY""}",SELECT CREW_ID_V FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' ORDER BY TOTAL_DUTY ASC;
"{""max_value"": 1364, ""select_column"": ""TOTAL_DUTY"", ""sort_by"": ""TOTAL_KMS""}",SELECT TOTAL_DUTY FROM CREW_MILEAGE_DATA WHERE TOTAL_DUTY <= 1364 ORDER BY TOTAL_KMS ASC;
"{""hq_code"": ""TDL"", ""max_value"": 8037, ""min_value"": 5504, ""select_column"": ""TOTAL_KMS""}",SELECT TOTAL_KMS FROM TDL_MILEAGE_DATA WHERE HQ_CODE_C = 'TDL' AND TOTAL_KMS BETWEEN 5504 AND 8037;
